City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,rayong,12.8333,101.4333,29.43,99,75,2.75,TH,1667704479
139,corowa,-36.0333,146.3833,22.54,62,96,2.69,AU,1667704480
140,san quintin,30.4833,-115.95,17.12,67,8,4.29,MX,1667704480
141,asau,46.4333,26.4,10.71,95,100,1.81,RO,1667704481
142,mount pleasant,32.7941,-79.8626,23.37,92,0,3.09,US,1667704227
143,derzhavinsk,51.1,66.3167,-4.06,85,16,4.72,KZ,1667704481
144,berlevag,70.8578,29.0864,5.0,81,100,5.66,NO,1667704482
145,khatanga,71.9667,102.5,-28.75,100,40,2.86,RU,1667704482
146,ostrovnoy,68.0531,39.5131,2.37,82,99,7.52,RU,1667704483
147,dunedin,-45.8742,170.5036,13.78,60,32,1.79,NZ,1667704484
148,abu zabad,12.35,29.25,22.34,24,33,4.34,SD,1667704484
149,antanifotsy,-19.65,47.3167,15.03,93,99,0.19,MG,1667704485
150,belaya gora,68.5333,146.4167,-18.13,97,100,4.39,RU,1667704486
151,yibin,28.7667,104.6238,19.32,69,97,0.26,CN,1667704486
152,port lincoln,-34.7333,135.8667,23.53,46,4,3.23,AU,1667704487
153,coihaique,-45.5752,-72.0662,13.34,97,94,2.53,CL,1667704487
154,koungou,-12.7336,45.2042,25.84,78,75,4.63,YT,1667704488
155,yakeshi,49.2833,120.7333,-4.28,79,27,2.23,CN,1667704488
156,bonavista,48.6499,-53.1147,10.17,88,100,5.19,CA,1667704489
157,kargasok,59.0556,80.8572,-4.34,92,27,3.97,RU,1667704489
158,bengkulu,-3.8004,102.2655,27.22,70,100,0.27,ID,1667704490
159,quesnel,52.9999,-122.5029,-12.71,98,100,1.6,CA,1667704490
160,baker city,44.7749,-117.8344,1.84,64,20,1.54,US,1667704491
161,ponca city,36.707,-97.0856,11.98,63,0,7.2,US,1667704491
162,altay,47.8667,88.1167,5.72,47,70,1.07,CN,1667704492
163,richards bay,-28.783,32.0377,19.82,86,57,3.48,ZA,1667704492
164,los llanos de aridane,28.6585,-17.9182,18.86,76,0,4.63,ES,1667704493
165,zhigansk,66.7697,123.3711,-27.88,97,30,3.1,RU,1667704494
166,grajau,-5.8194,-46.1386,23.39,92,100,0.9,BR,1667704494
167,panaba,21.2833,-88.2667,23.43,84,13,4.05,MX,1667704494
168,chiredzi,-21.05,31.6667,22.31,76,34,2.68,ZW,1667704495
169,gorom-gorom,14.4439,-0.2361,25.62,20,56,4.16,BF,1667704495
170,grindavik,63.8424,-22.4338,3.26,75,0,4.63,IS,1667704496
171,korla,41.7597,86.1469,10.88,31,100,1.25,CN,1667704497
172,komatsu,36.4026,136.4509,15.23,45,3,1.48,JP,1667704497
173,chifeng,42.2683,118.9636,8.95,18,45,1.99,CN,1667704328
174,dingzhou,38.5131,114.9956,12.52,42,99,3.44,CN,1667704284
175,horta,38.5333,-28.6333,15.57,84,72,1.34,PT,1667704498
176,molteno,-31.3968,26.3625,11.6,87,12,2.65,ZA,1667704498
177,atar,20.5169,-13.0499,23.06,13,0,2.9,MR,1667704499
178,rocha,-34.4833,-54.3333,11.8,97,1,2.25,UY,1667704451
179,brownsville,25.9018,-97.4975,23.97,94,100,1.54,US,1667704499
180,mandera,3.9366,41.867,24.56,77,11,4.14,KE,1667704500
181,longyearbyen,78.2186,15.6401,-6.03,91,85,2.13,SJ,1667704500
182,kaa-khem,51.6833,94.7333,-3.65,73,38,1.01,RU,1667704501
183,margate,51.3813,1.3862,14.06,93,100,1.79,GB,1667704501
184,santa barbara,34.7333,-120.0343,12.12,84,0,2.57,US,1667704256
185,tessalit,20.1986,1.0114,21.99,18,0,3.99,ML,1667704502
186,hambantota,6.1241,81.1185,26.66,74,90,2.39,LK,1667704503
187,palana,59.1167,159.9667,-1.23,96,84,6.8,RU,1667704503
188,makat,47.6469,53.3463,1.72,81,100,3.8,KZ,1667704504
